query,startup,networking,reasoning
q1.n3,29,501,38
q10.n3,24,496,55
q11.n3,22,496,78
q12.n3,23,500,65
q13.n3,23,501,36
q14.n3,23,497,37
q15.n3,22,501,19
q16.n3,23,502,47
q17.n3,22,498,24
q18.n3,22,497,12
q19.n3,23,501,19
q2.n3,22,500,23
q20.n3,22,499,63
q21.n3,22,500,85
q22.n3,22,497,56
q23.n3,22,500,49
q24.n3,23,498,56
q25.n3,23,497,65
q3.n3,23,499,47
q4.n3,22,500,35
q5.n3,22,496,26
q6.n3,22,497,33
q7.n3,23,495,74
q8.n3,22,498,63
q9.n3,23,496,76
,,,
avg,22.76,498.48,47.24