query,networking,reasoning
q1.n3,509,28
q10.n3,509,32
q11.n3,509,18
q12.n3,510,11
q13.n3,510,53
q14.n3,508,52
q15.n3,509,44
q16.n3,511,49
q17.n3,514,90
q2.n3,509,23
q3.n3,508,41
q4.n3,508,33
q5.n3,509,46
q6.n3,508,54
q7.n3,511,52
q8.n3,508,65
q9.n3,508,27
avg:,509.2941176,